Timestamp,Comment,IsVisitorAccessAllowed,Plate,ResidentFoundCount,VisitorFoundCount,,TagImage
2021-09-20T15:39:42.948Z,,FALSE,AE9247,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153942466_AE9247.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_153942466_AE9247.jpeg
2021-09-20T15:40:17.449Z,,FALSE,KRZZ02,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154017271_KRZZ02.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154017271_KRZZ02.jpeg
2021-09-20T15:40:57.866Z,Master LPR,FALSE,NWIT68,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154057132_NWIT68.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154057132_NWIT68.jpeg
2021-09-20T15:41:01.894Z,Common LPR,FALSE,NWIT6B,0,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154101389_NWIT6B.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154101389_NWIT6B.jpeg
2021-09-20T15:41:04.886Z,,FALSE,DQQZ86,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154104329_DQQZ86.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154104329_DQQZ86.jpeg
2021-09-20T15:41:16.123Z,,FALSE,X69FP,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154115530_X69FP.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154115530_X69FP.jpeg
2021-09-20T15:42:21.723Z,,FALSE,LWZZ14,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154221355_LWZZ14.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154221355_LWZZ14.jpeg
2021-09-20T15:42:30.744Z,,FALSE,CQFU14,2,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154230557_CQFU14.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154230557_CQFU14.jpeg
2021-09-20T15:43:06.480Z,,FALSE,DPMX04,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154306328_DPMX04.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154306328_DPMX04.jpeg
2021-09-20T15:43:24.599Z,,FALSE,85337Z,1,0,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154324151_85337Z.jpeg,https://spprodfunctionstorage.blob.core.windows.net/imaginationfarmslprr/tagimage%2F20210920_154324151_85337Z.jpeg
